header,w_length,date_type,date,label
"### $ 764 - القاضي ابن اليسع الكندي [- بعد 167]
",408,death,167,pre-Fatimid
"### $ 1152 - الحسن بن زيد والد السيدة نفيسة [- 168]
",552,death,168,pre-Fatimid
"### $ 1361 - خالد بن يزيد بن سهيل التجيبي [- 168]
",15,death,168,pre-Fatimid
"### $ 1327 - خالد بن حميد المهري [- 169]
",122,death,169,pre-Fatimid
"### $ 3327 - أبو غسان ابن المطرف المدني [- 170]
",171,death,170,pre-Fatimid
"### $ 1470 - عبد الرحمن الداخل [[113 - 171]]
",2498,full,171,pre-Fatimid
"### $ 159 - أبو الجوشن البكري [- 174]
",14,death,174,pre-Fatimid
"### $ 3465 - أبو بكر الدندري الشافعي [- 174]
",37,death,174,pre-Fatimid
"### $ 1560 - عبد الله بن فروخ الخراساني [115 - 175] (1*) [فقيه القيروان]
",177,full,175,pre-Fatimid
"### $ 695 - إدريس الأول [- 175]
",676,death,175,pre-Fatimid
"### $ 84 - أبو الأصبغ البجلي الدمشقي [- 176]
",50,death,176,pre-Fatimid
"### $ 171 - إبراهيم بن صالح العباسي [- 176]
",809,death,176,pre-Fatimid
"### $ 2981 - أبو العالية ابن لهيعة [- 178]
",22,death,178,pre-Fatimid
"### $ 1523 - عبدويه ابن الجارود [- بعد 179]
",431,death,179,pre-Fatimid
"### $ 2400 - محمد بن عبد الرحمن بن بسطام الكندي [- 179]
",52,death,179,pre-Fatimid
"### $ 2305 - محمد بن سليمان النصري الحمصي [- 180]
",81,death,180,pre-Fatimid
"### $ 3302 - القاضي ابن مسروق الكندي [- 184]
",687,death,184,pre-Fatimid
"### $ 2028 - محمد بن الحجاج بن يوسف اللخمي [- 185]
",19,death,185,pre-Fatimid
"### $ 2312 - أبو عثمان ابن جبير [- بعد 188]
",32,death,188,pre-Fatimid
"### $ 1554 - أبو عبد الرحمن ابن غانم الرعيني [128 - 190]
",150,full,190,pre-Fatimid
"### $ 1437 - ابن القاسم صاحب مالك [132 - 191]
",533,full,191,pre-Fatimid
"### $ 65 - إبراهيم بن الأغلب [- 196]
",636,death,196,pre-Fatimid
"### $ 2034 - ابن عتاهية اليمني [- 197]
",21,death,197,pre-Fatimid
"### $ 693 - ابن السراج الشاعر [- 198]
",246,death,198,pre-Fatimid
"### $ 1942 - القاضي محمد ابن شراحيل الباجي [- 198]
",65,death,198,pre-Fatimid
"### $ 1316 - حوي بن حوي بن معاذ [- 200]
",79,death,200,pre-Fatimid
"### $ 2182 - محمد بن حمير السليحي [- 200]
",207,death,200,pre-Fatimid
"### $ 3507 - أبو مزاحم المحتسب [- 202]
",59,death,202,pre-Fatimid
"### $ 792 - أشهب بن عبد العزيز [140 - 204] (2) [فقيه مصر]
",282,full,204,pre-Fatimid
"### $ 1895 - [محمد بن إدريس] الشافعي [150 - 204]
",21628,full,204,pre-Fatimid
"### $ 718 - أبو نعيم ابن الفرات صاحب مالك [- 204]
",121,death,204,pre-Fatimid
"### $ 1124 - أبو عمر الجهني المحدث [- 204]
",55,death,204,pre-Fatimid
"### $ 2383 - محمد بن طلحة المديني [- 204]
",27,death,204,pre-Fatimid
"### $ 2579 - ابن هلال الأزدي [- 204]
",25,death,204,pre-Fatimid
"### $ 3341 - محمد بن معمر الجوهري [- 204]
",26,death,204,pre-Fatimid
"### $ 25 - أبو إسحاق القاري [- 205]
",223,death,205,pre-Fatimid
"### $ 276 - أبو إسحاق الخفاف [- 205]
",24,death,205,pre-Fatimid
"### $ 2161 - محمد بن الحكم الإفريقي [- 206]
",30,death,206,pre-Fatimid
"### $ 3492 - أبو الحسن العقيلي [- 207]
",37,death,207,pre-Fatimid
"### $ 717 - المؤتمن زوج السيدة نفيسة [- بعد 208]
",112,death,208,pre-Fatimid
"### $ 1111 - الحارث بن أسد الإفريقي [- 208]
",13,death,208,pre-Fatimid
"### $ 1294 - حميد ابن مسروق الجيشاني [- 208]
",33,death,208,pre-Fatimid
"### $ 1909 - أبو بكر الضبي [- 208]
",27,death,208,pre-Fatimid
"### $ 2370 - محمد بن الصباح بن كثير الرعيني [- 208]
",15,death,208,pre-Fatimid
"### $ 2701 - محمد بن عطاء النخعي، نزيل مصر [- بعد 210]
",29,death,210,pre-Fatimid
"### $ 3621 - الفريابي الكبير [120 - 212]
",188,full,212,pre-Fatimid
"### $ 1334 - خالد بن عبد الرحمن البصري [- 212]
",20,death,212,pre-Fatimid
"### $ 723 - أسد بن الفرات [144 - 213]
",691,full,213,pre-Fatimid
"### $ 686 - أبو جعفر الكاتب وزير المأمون [- 213]
",827,death,213,pre-Fatimid
"### $ 2221 - محمد بن خلف بن محفوظ [- بعد 213]
",16,death,213,pre-Fatimid
"### $ 1496 - عبد الله بن عبد الحكم [155 - 214]
",369,full,214,pre-Fatimid
"### $ 2541 - أبو محرز ms2530 قاضي إفريقية [- 214]
",129,death,214,pre-Fatimid
"### $ 1944 - القاضي محمد بن بكار ms2306 [142 - 216]
",169,full,216,pre-Fatimid
"### $ 1447 - عبد الرحمن بن موسى الهواري [- بعد 216]
",196,death,216,pre-Fatimid
"### $ 2206 - محمد بن خطاب الأزرق [- بعد 216]
",24,death,216,pre-Fatimid
"### $ 91 - إبراهيم بن الجراح المروروذي [- 217]
",229,death,217,pre-Fatimid
"### $ 1479 - المأمون العباسي [170 - 218]
",20471,full,218,pre-Fatimid
"### $ 1297 - حميد بن عبد الله بن وهب [- 218]
",35,death,218,pre-Fatimid
"### $ 2428 - أبو المغيث المعافري [- 218]
",58,death,218,pre-Fatimid
"### $ 3542 - حفيد مالك [- 218]
",26,death,218,pre-Fatimid
"### $ 3543 م- أبو عبد الله اليزيدي [- قبل 218] (2)
",1188,death,218,pre-Fatimid
"### $ 1483 - الحميدي محدث مكة [- 219]
",203,death,219,pre-Fatimid
"### $ 272 - أبو إسحاق الحضرمي [220 - ]
",36,birth,220,pre-Fatimid
"### $ 1112 - الحارث بن أسد العتكي [- 220]
",24,death,220,pre-Fatimid
"### $ 2195 - ابن مرتنيل القرطبي [- 220]
",73,death,220,pre-Fatimid
"### $ 2534 - زنين [- 221]
",32,death,221,pre-Fatimid
"### $ 2977 - أبو عبد الله الأعشى القرطبي [- 221]
",63,death,221,pre-Fatimid
"### $ 1355 - أبو يزيد الغساني [- 222]
",25,death,222,pre-Fatimid
"### $ 2747 - محمد بن علي السهمي [- 222]
",19,death,222,pre-Fatimid
"### $ 72 - ابن البراء الأنسي [- 225]
",154,death,225,pre-Fatimid
"### $ 296 - ابن الغمر الغساني [- 225]
",20,death,225,pre-Fatimid
"### $ 389 - إبراهيم اليزيدي [- 225]
",453,death,225,pre-Fatimid
"### $ 794 - أصبغ بن الفرج [- 225]
",568,death,225,pre-Fatimid
"### $ 2335 - محمد بن سلام البيكندي الصغير [- 225]
",33,death,225,pre-Fatimid
"### $ 3463 - المعتصم العباسي [178 - 227]
",6492,full,227,pre-Fatimid
"### $ 1385/ 1387 - خالد بن يزيد الفارسي الإفريقي [- 228]
",8,death,228,pre-Fatimid
"### $ 1385/ 1387 - خالد بن يزيد اللؤلؤي [- 228]
",21,death,228,pre-Fatimid
"### $ 1503 - أبو زرعة القتباني [- 228]
",57,death,228,pre-Fatimid
"### $ 2025 - ابن زيان المرادي [- 229]
",22,death,229,pre-Fatimid
"### $ 2576 - ابن فضالة [- 229]
",23,death,229,pre-Fatimid
"### $ 3334 - أبو علي الهلالي النيسابوري [- 229]
",251,death,229,pre-Fatimid
"### $ 1637 - أبو بكر ابن ما شاء الله [230 - ]
",58,birth,230,pre-Fatimid
"### $ 2946 - أبو جعفر الجعفي [- 230]
",38,death,230,pre-Fatimid
"### $ 3293 - محمد بن موسى المديني [- بعد 230]
",15,death,230,pre-Fatimid
"### $ 1332 - خالد بن عائذ الزوفي [- 231]
",34,death,231,pre-Fatimid
"### $ 2226 - محمد بن خلاد التميمي [- 231]
",146,death,231,pre-Fatimid
"### $ 2336 - محمد بن سلام البزاز الأصغر [- بعد 231]
",85,death,231,pre-Fatimid
"### $ 2663 - ابن جحش المدني [- 231]
",33,death,231,pre-Fatimid
"### $ 3031 - محمد بن فليح بن سليمان، الرعيني [- 231]
",13,death,231,pre-Fatimid
"### $ 992 - البهلول بن عبيدة [- 233]
",35,death,233,pre-Fatimid
"### $ 1431 - أبو الربيع العنزي [- 233]
",29,death,233,pre-Fatimid
"### $ 2261 - «تليل» بن أبي مريم [- 235]
",37,death,235,pre-Fatimid
"### $ 2280 - محمد بن سفيان العامري [- 235]
",58,death,235,pre-Fatimid
"### $ 2664 - محمد بن عثمان السهمي [- 235]
",26,death,235,pre-Fatimid
"### $ 3388 - محمد بن مهدي الإخميمي [- 236]
",34,death,236,pre-Fatimid
"### $ 2160 - أبو عبد الله البجلي البصري [- 238]
",26,death,238,pre-Fatimid
"### $ 562 - ابن أبي دواد [160 - 240]
",2080,full,240,pre-Fatimid
"### $ 2058 - أبو بكر الأعين [- 240]
",82,death,240,pre-Fatimid
